布匹, 布疋, Pòu-phit, L0, 汕頭話讀本
鈔票, 紙字, Tsúa-jī, L0, 汕頭話讀本
倒閉, 倒賬, Tó-tièⁿ, L0, 汕頭話讀本
本金, 本錢, Pńg-chîⁿ, L0, 汕頭話讀本
現金, 現錢, Hiēn-chîⁿ, L0, 汕頭話讀本
找錢, 找錢, Táu-chîⁿ, L0, 汕頭話讀本
佣金, 抽分, Thiu-hùn, L1, 汕頭話讀本
貸, 賒, Chhia, L0, 汕頭話讀本
債權人, 債主, Chè-tsú, L0, 汕頭話讀本
折扣, 抽減, Thiu-kiám, L0, 汕頭話讀本
匯票, 銀單, Ngṳ̂n-tuaⁿ, L1, 汕頭話讀本
匯票, 對單, Tùi-tuaⁿ, L1, 汕頭話讀本
催討, 催迫, Tshui-pek, L0, 汕頭話讀本
定金, 定銀, Tiāⁿ-ngṳ̂n, L1, 汕頭話讀本
花(錢), 使(錢), Sái, L0, 汕頭話讀本
花費, 所費, Só-hùi, L0, 汕頭話讀本
保險, 保家, Pó-ke, L2, 汕頭話讀本
保險單, 保家字, Pó-ke-jī, L2, 汕頭話讀本
保險公司, 保家館, Pó-ke-kuán, L2, 汕頭話讀本
利益, 利錢, Lāi-chîⁿ, L0, 汕頭話讀本
投資, 落本, Lóh-pńg, L0, 汕頭話讀本
虧本, 蝕本, Síh-pńg, L0, 汕頭話讀本
錢幣兌換商, 找錢行, Táu-chiⁿ-hâng, L2, 汕頭話讀本
抵押, 典, tóiⁿ, L1, 汕頭話讀本
承押, 當, Tǹg, L1, 汕頭話讀本
抵押契據, 典契, Tóiⁿ-khòi, L2, 汕頭話讀本
抵押人, 典主, Tóiⁿ-tsú, L2, 汕頭話讀本
承押人, 當主, Tǹg-tsú, L2, 汕頭話讀本
原件, 底子, Tói-tsṳ́, L1, 汕頭話讀本
價格, 價錢, Kè-chîⁿ, L0, 汕頭話讀本
降價, 落價, Lóh-kè, L0, 汕頭話讀本
漲價, 起價, Khí-kè, L0, 汕頭話讀本
利潤, 趁|贃, Thàn, L0, 汕頭話讀本
租金, 稅, Sùe, L0, 汕頭話讀本
房租, 厝稅, Tshu-sùe, L0, 汕頭話讀本
房東, 厝主, Tshù-tsú, L0, 汕頭話讀本
保證, 保領, Pó-niáⁿ, L1, 汕頭話讀本
高利, 重利, Tãng-lāi, L0, 汕頭話讀本
登佈告, 出字白, Tshut-jī-péh, L1, 汕頭話讀本
公斷人, 公親, Kong-chhin, L0, 汕頭話讀本
助理, 二手, Jī-chhiú, L2, 汕頭話讀本
提貨單, 攬儎字, Nám-tsāi-jī, L0, 汕頭話讀本
經紀人, 拍空, Phah-khang, L0, 汕頭話讀本
生意, 生理, Seng-lí, L0, 汕頭話讀本
生意人, 生理儂, Seng-lí-nâng, L0, 汕頭話讀本
證書, 憑單, Phêng-tuaⁿ, L1, 汕頭話讀本
商標, 字號, Jī-hō, L0, 汕頭話讀本
稅務局, 稅務司, Sùe-bũ-si, L2, 汕頭話讀本
信件, 批信, Phoi-sìn, L0, 汕頭話讀本
家書, 家信, Ke-sìn, L0, 汕頭話讀本
顧客, 買客, Bói-kheh, L1, 汕頭話讀本
逾期, 過限, Kùe-hãng, L0, 汕頭話讀本
散夥, 拆夥記, Thiah-húe-kì, L0, 汕頭話讀本
海關, 餉關, Hiàng-kuan, L1, 汕頭話讀本
關稅, 餉, Hiàng, L1, 汕頭話讀本
收稅, 携餉, Khieh-hiàng, L1, 汕頭話讀本
納稅, 納餉, Láp-hiàng, L1, 汕頭話讀本
避稅, 走餉, Tsáu-hiàng, L1, 汕頭話讀本
工作, 頭路, Thâu-lōu, L0, 汕頭話讀本
商品, 貨, Hùe, L0, 汕頭話讀本
出口商品, 出口貨, Tshut-kháu-hùe, L0, 汕頭話讀本
進口商品, 入口貨, Jíp-kháu-hùe, L0, 汕頭話讀本
發票, 貨單, Hùe-tuaⁿ, L1, 汕頭話讀本
經理, 家長, Ke-tiéⁿ, L1, 汕頭話讀本|考釋
載貨清單, 報餉單, Pò-hiàng-tuaⁿ, L0, 汕頭話讀本
市場, 街市, Koi-chhĩ, L0, 汕頭話讀本
商人, 客商, Kheh-siang, L0, 汕頭話讀本
報紙, 新聞紙, Sin-bũn-tsúa, L2, 汕頭話讀本
本子, 簿囝, Phõu-kiáⁿ, L0, 汕頭話讀本
通行證, 路票, Lōu-phiè, L1, 汕頭話讀本
郵費, 酒錢, Chiú-chîⁿ, L0, 汕頭話讀本
零售, 零些賣, Lân-san-bōi, L1, 汕頭話讀本
店鋪, 鋪頭, Phòu-thâu, L0, 汕頭話讀本
交易, 交掛, Kau-kùa, L0, 汕頭話讀本
批發購進, 買上盤, Bói-chiēⁿ-pûaⁿ, L2, 汕頭話讀本
批發銷售, 賣上盤, Bōi-chiēⁿ-pûaⁿ, L2, 汕頭話讀本
批發交易, 做上盤, Tsò-chiēⁿ-pûaⁿ, L2, 汕頭話讀本
老闆, 頭家, thâu-ke, L0, 考釋
